Prompt,Model,Code,Kappa_SE,Kappa_CI_Lower,Kappa_CI_Upper
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,0.035046973816610295,0.4377928032064265,0.5762075891240259
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Restating,0.02961490923640312,0.48913809400108965,0.6074878619310291
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Revoicing,0.023380740681572965,0.26680580604360543,0.3608574336547822
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Pressing for Accuracy,0.013298489915497513,0.43503756373196945,0.48508678462384747
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Pressing for Reasoning,0.01939134289182685,0.22267912578446294,0.2998687375104553
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,None,0.009345679902563625,0.46586898757458917,0.5034960116215982
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Keeping Everyone Together,0.010658714897016384,0.050445959491515195,0.09360112594682791
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,0.03383056432296056,0.45501387196730303,0.5855425827938843
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Restating,0.029973272131951716,0.5770933539478947,0.6946911542690306
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Revoicing,0.0245353974428511,0.2928502500763043,0.39039902135069254
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Pressing for Accuracy,0.014289473094218741,0.40228044162535115,0.4581125459475296
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Pressing for Reasoning,0.020279791295875572,0.23004724045197758,0.30872250343263175
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,None,0.008444488479806661,0.5621583737599049,0.594877065608529
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Keeping Everyone Together,0.012955012782490843,0.13968628943777953,0.19172797466158248
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,0.03498976036970203,0.467763602021683,0.607297883564206
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Restating,0.029433187733166263,0.5606221851457813,0.6750017501584583
