Prompt,Model,Code,N_Truth,N_Pred,Accuracy,Kappa
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Pressing for Reasoning,120,780,0.9355027279812939,0.24923008927782297
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Revoicing,237,387,0.9623928293063133,0.36317083669677985
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Restating,135,230,0.9862626656274357,0.607187332055827
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,None,7000,7456,0.8237606673698341,0.5866864158457105
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,154,138,0.988110077668041,0.5693314559519166
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Keeping Everyone Together,1422,365,0.8558826349602071,0.10931437981612449
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Pressing for Accuracy,1355,1226,0.9160993383833541,0.6132461705845301
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Pressing for Reasoning,123,645,0.9489883977370793,0.2932915643522785
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Revoicing,238,352,0.9626042765365806,0.3204793939011175
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Restating,137,247,0.9854252564963084,0.5973622943832675
TalkMoves_Teacher_OneShot,openai.gpt-5,None,7077,7530,0.8269577598481253,0.5940121709857018
TalkMoves_Teacher_OneShot,openai.gpt-5,Getting Students to Relate to Another's Ideas,156,181,0.9877551020408163,0.6110235120668689
TalkMoves_Teacher_OneShot,openai.gpt-5,Keeping Everyone Together,1431,265,0.8564784053156146,0.06897041486521993
TalkMoves_Teacher_OneShot,openai.gpt-5,Pressing for Accuracy,1367,1295,0.9124822021831989,0.6035988938786239
TalkMoves_Teacher_OneShot,openai.gpt-5,Pressing for Reasoning,124,659,0.9488372093023256,0.29770775315185727
TalkMoves_Teacher_OneShot,openai.gpt-5,Revoicing,242,429,0.9623160892263882,0.390441296602171
TalkMoves_Teacher_OneShot,openai.gpt-5,Restating,138,176,0.9910773611770289,0.6961754474884133
TalkMoves_Teacher_OneShot,openai.o3,None,7072,7133,0.8243397301919058,0.5998046005198399
TalkMoves_Teacher_OneShot,openai.o3,Getting Students to Relate to Another's Ideas,156,184,0.9866996009880297,0.5815225169760502
TalkMoves_Teacher_OneShot,openai.o3,Keeping Everyone Together,1428,626,0.852935588067642,0.17840874505887927
TalkMoves_Teacher_OneShot,openai.o3,Pressing for Accuracy,1366,1159,0.905662169865096,0.5535441544297262
TalkMoves_Teacher_OneShot,openai.o3,Pressing for Reasoning,124,820,0.9331179935398062,0.2386557163616755
TalkMoves_Teacher_OneShot,openai.o3,Revoicing,242,389,0.9613338400152005,0.336174834937859
TalkMoves_Teacher_OneShot,openai.o3,Restating,138,215,0.9867946038381151,0.5998416995365297
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,None,7077,7303,0.8198386331276697,0.5845246867233902
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Getting Students to Relate to Another's Ideas,156,192,0.9865211200759374,0.5851759543640032
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Keeping Everyone Together,1431,545,0.8483151400094922,0.12579287825907706
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Pressing for Accuracy,1367,1177,0.9183673469387755,0.615822705746932
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Pressing for Reasoning,124,598,0.9540579022306597,0.31630956751478906
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Revoicing,242,483,0.9554817275747508,0.33267878634319203
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Restating,138,237,0.987375415282392,0.6393621147669386
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,None,7061,7435,0.7936220847215611,0.518333385853516
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,156,140,0.9862922417896239,0.5065822949964087
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Keeping Everyone Together,1423,380,0.8502617801047121,0.07473360122761374
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Pressing for Accuracy,1364,1115,0.8875773441218467,0.46059519112354586
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Pressing for Reasoning,123,706,0.9429795335554498,0.26273956003823834
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Revoicing,241,451,0.9558305568776773,0.3088108214344754
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Restating,137,278,0.9825797239409805,0.5511944591718307
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,None,7077,7711,0.7833887043189369,0.48465539806293195
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,156,132,0.9870906502135738,0.5212797237191029
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Keeping Everyone Together,1431,512,0.8411960132890366,0.07256863378499047
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Pressing for Accuracy,1367,819,0.8931181775035596,0.42942749823908793
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Pressing for Reasoning,124,723,0.9423825344091125,0.2686572182636887
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Revoicing,242,416,0.9601328903654485,0.3426078708767579
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Restating,138,222,0.9878500237304224,0.6386058797296855
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,None,6925,7087,0.81601857225769,0.5789633761564447
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,155,141,0.9870381118204682,0.5407371455055774
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Keeping Everyone Together,1408,625,0.8497775198297544,0.1662883310794525
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Pressing for Accuracy,1352,1261,0.908396208164055,0.5852264817219519
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Pressing for Reasoning,123,655,0.9477655252466628,0.291723220763088
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Revoicing,238,348,0.9647900947958986,0.3613774985489844
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Restating,137,221,0.9870381118204682,0.6194723179826663
TalkMoves_Teacher_ZeroShot,openai.gpt-5,None,7077,7216,0.8163265306122449,0.5791784154620675
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Getting Students to Relate to Another's Ideas,156,187,0.9871855719031799,0.5999548262371251
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Keeping Everyone Together,1431,490,0.8485999050783104,0.10788381742738615
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Pressing for Accuracy,1367,1336,0.9085904129093498,0.5913061105330071
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Pressing for Reasoning,124,686,0.9458946369245372,0.2819812746809798
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Revoicing,242,445,0.9615567157095396,0.392398925402634
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Restating,138,175,0.9911722828666351,0.6984585222927199
TalkMoves_Teacher_ZeroShot,openai.o3,None,7076,6736,0.8089087282742901,0.577147547771522
TalkMoves_Teacher_ZeroShot,openai.o3,Getting Students to Relate to Another's Ideas,156,200,0.9849938265742235,0.5486662231776896
TalkMoves_Teacher_ZeroShot,openai.o3,Keeping Everyone Together,1430,939,0.8428150821540508,0.21710124886887305
TalkMoves_Teacher_ZeroShot,openai.o3,Pressing for Accuracy,1365,1230,0.8999905024218824,0.5373626504312252
TalkMoves_Teacher_ZeroShot,openai.o3,Pressing for Reasoning,123,806,0.9345616867698737,0.2429973813453059
TalkMoves_Teacher_ZeroShot,openai.o3,Revoicing,242,413,0.9613448570614493,0.36007808735264557
TalkMoves_Teacher_ZeroShot,openai.o3,Restating,137,205,0.9880330515718492,0.6257409553514117
