Prompt,Model,Code,N_Truth,N_Pred,Accuracy,Kappa
TalkMoves_Teacher_OneShot,openai.o3,None,15617,16442,0.8055328133752747,0.5455152283668662
TalkMoves_Teacher_OneShot,openai.o3,Keeping Everyone Together,3071,1154,0.854828284569311,0.14046926362100912
TalkMoves_Teacher_OneShot,openai.o3,Pressing for Reasoning,280,1704,0.9380359374326712,0.25986217134819223
TalkMoves_Teacher_OneShot,openai.o3,Getting Students to Relate to Another's Ideas,306,368,0.9878484939888826,0.5754900234829335
TalkMoves_Teacher_OneShot,openai.o3,Pressing for Accuracy,3076,2673,0.8994699875037704,0.5371406384087053
TalkMoves_Teacher_OneShot,openai.o3,Restating,295,246,0.9834101779635455,0.28003181666945376
TalkMoves_Teacher_OneShot,openai.o3,Revoicing,562,620,0.961563321411643,0.22567503886653714
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,None,15618,17349,0.7852895553257497,0.48183980939344734
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Keeping Everyone Together,3071,809,0.8541882109617374,0.076897406410825625
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Pressing for Reasoning,280,1665,0.9389434677697346,0.25609932870602936
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,306,283,0.9874612202688728,0.49960211364346024
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Pressing for Accuracy,3076,1998,0.8861599448466047,0.4186210462215127
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Restating,295,427,0.9792312995518787,0.32221950642277203
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Revoicing,562,677,0.9585056876938987,0.20163276363978647
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,None,15610,17495,0.7861393824391927,0.4807316711466385
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Keeping Everyone Together,3064,813,0.8516042780748663,0.060386671291059735
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Pressing for Reasoning,280,1689,0.9386320510608935,0.2620098188978121
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,306,244,0.9886148007590133,0.514313152130521
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Pressing for Accuracy,3071,1721,0.8982232189063308,0.4557376698310994
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Restating,295,480,0.9789977574607556,0.3615516042402797
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Revoicing,562,746,0.957564257374504,0.2263170958313276
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,None,15243,16825,0.8067816041271662,0.5363539977018729
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Keeping Everyone Together,2991,877,0.8528153798668372,0.08212865589592609
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Pressing for Reasoning,275,1393,0.9492922968384849,0.29629936219494896
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,299,264,0.9887561179946206,0.5413989479322856
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Pressing for Accuracy,3040,2555,0.9167952731601923,0.6156847487358069
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Restating,287,273,0.9830680365095463,0.30571932735405455
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Revoicing,544,492,0.9646368887517086,0.20782052450184194
TalkMoves_Teacher_ZeroShot,openai.gpt-5,None,15618,16849,0.8020941054808687,0.5308322177023034
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Keeping Everyone Together,3071,976,0.8513012754222682,0.08913383221925811
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Pressing for Reasoning,280,1504,0.94657014822475,0.29049976095164765
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Getting Students to Relate to Another's Ideas,306,342,0.988538435022406,0.5837124430526198
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Pressing for Accuracy,3076,2751,0.907574974146846,0.5792271321276483
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Restating,295,180,0.9850482592209583,0.26236755330841505
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Revoicing,562,606,0.9611340916925198,0.20783416206888877
TalkMoves_Teacher_ZeroShot,openai.o3,None,15613,16179,0.8085959391300599,0.5565802859102738
TalkMoves_Teacher_ZeroShot,openai.o3,Keeping Everyone Together,3069,1327,0.8549812475751175,0.16832959095347186
TalkMoves_Teacher_ZeroShot,openai.o3,Pressing for Reasoning,280,1726,0.9365435185584343,0.25063604670980427
TalkMoves_Teacher_ZeroShot,openai.o3,Getting Students to Relate to Another's Ideas,306,373,0.9878001465706773,0.5770812370466145
TalkMoves_Teacher_ZeroShot,openai.o3,Pressing for Accuracy,3072,2653,0.9013234469974566,0.5442346777042507
TalkMoves_Teacher_ZeroShot,openai.o3,Restating,295,289,0.9816355563219382,0.2612496596653031
TalkMoves_Teacher_ZeroShot,openai.o3,Revoicing,562,650,0.9608570073716429,0.23083735548764717
